APOE	OMIM:603075
APOE	ORPHA:412
APOE	OMIM:607822
APOE	OMIM:606889
APOE	OMIM:104310
APOE	OMIM:269600
APOE	ORPHA:158029
APOE	OMIM:611771
AGPS	OMIM:600121
APOL1	OMIM:612551
APOL1	ORPHA:656
APP	ORPHA:324713
APP	ORPHA:324708
APP	ORPHA:1020
APP	ORPHA:324703
APP	OMIM:605714
APP	OMIM:104300
APP	ORPHA:324723
APP	ORPHA:100006
FANCM	ORPHA:84
FANCM	ORPHA:399805
FANCM	OMIM:618086
FANCM	OMIM:618096
APRT	ORPHA:976
APRT	OMIM:614723
AP3B1	OMIM:608233
FAS	ORPHA:3261
FAS	OMIM:601859
FAS	ORPHA:3437
FAS	ORPHA:117
FCN3	OMIM:613860
FASLG	ORPHA:3261
FASLG	OMIM:211980
FASLG	OMIM:601859
MAPKAPK5	OMIM:619869
AQP2	ORPHA:223
AQP2	OMIM:125800
LMOD2	OMIM:619897
GBA2	ORPHA:320391
GBA2	ORPHA:352641
GBA2	OMIM:614409
AQP5	ORPHA:2337
AQP5	OMIM:600231
CDC14A	OMIM:608653
TCAP	ORPHA:154
TCAP	OMIM:601954
TCAP	OMIM:607487
SLC7A14	ORPHA:791
SLC7A14	OMIM:615725
CDK10	OMIM:617694
AR	ORPHA:90797
AR	ORPHA:95706
AR	OMIM:313200
AR	OMIM:176807
AR	OMIM:300068
AR	ORPHA:481
AR	OMIM:312300
AR	OMIM:300633
AR	ORPHA:99429
ABCC6	OMIM:177850
ABCC6	ORPHA:51608
ABCC6	OMIM:264800
ABCC6	ORPHA:758
ABCC6	OMIM:614473
DEGS1	OMIM:618404
ARCN1	OMIM:617164
PRX	OMIM:145900
PRX	OMIM:614895
YARS1	OMIM:619418
YARS1	OMIM:608323
PDXK	OMIM:618511
ARF1	OMIM:618185
ARF1	ORPHA:98892
MADD	OMIM:619004
MADD	OMIM:619005
PDLIM4	OMIM:166710
EPG5	ORPHA:1493
EPG5	OMIM:242840
CASK	ORPHA:163937
CASK	OMIM:300908
CASK	ORPHA:1934
CASK	OMIM:300422
CASK	OMIM:300749
MTFMT	OMIM:614947
MTFMT	ORPHA:255241
MTFMT	OMIM:618248
PRKRA	ORPHA:210571
PRKRA	OMIM:612067
ARG1	OMIM:207800
ARG1	ORPHA:90
WDR19	OMIM:614376
WDR19	OMIM:614377
WDR19	ORPHA:3156
WDR19	OMIM:619867
WDR19	OMIM:614378
WDR19	ORPHA:1515
WDR19	ORPHA:474
WDR19	OMIM:616307
SLC51B	OMIM:619481
SPTBN4	OMIM:617519
RHOA	OMIM:618727
ARHGDIA	OMIM:615244
ARHGDIA	ORPHA:656
RHOH	OMIM:618307
PHOX2A	OMIM:602078
ARL2	OMIM:619082
ARL3	ORPHA:791
ARL3	ORPHA:475
ARL3	OMIM:618173
ARL3	OMIM:618161
ARR3	OMIM:301010
TNFSF11	OMIM:259710
TNFSF11	ORPHA:667
ARSA	ORPHA:309271
ARSA	ORPHA:309256
ARSA	ORPHA:309263
ARSA	OMIM:250100
MLIP	OMIM:620138
YIF1B	OMIM:619125
ARSB	OMIM:253200
STS	ORPHA:461
STS	ORPHA:281090
STS	OMIM:308100
SLC25A12	OMIM:612949
ARSL	ORPHA:79345
ARSL	OMIM:302950
GAS2L2	OMIM:618449
GAS2L2	ORPHA:244
ARVCF	ORPHA:567
ASAH1	OMIM:228000
ASAH1	OMIM:159950
ASAH1	ORPHA:333
ASAH1	ORPHA:2590
ASCL1	ORPHA:99803
CDK13	OMIM:617360
PDE8B	ORPHA:228169
PDE8B	OMIM:614190
PDE8B	ORPHA:189439
PDE8B	OMIM:609161
RFXANK	ORPHA:572
RFXANK	OMIM:209920
TP63	ORPHA:1896
TP63	ORPHA:199306
TP63	ORPHA:199302
TP63	ORPHA:93930
TP63	ORPHA:2440
TP63	OMIM:106260
TP63	OMIM:603543
TP63	ORPHA:978
TP63	ORPHA:69085
TP63	OMIM:604292
TP63	ORPHA:141291
TP63	OMIM:129400
TP63	OMIM:605289
TP63	OMIM:103285
TP63	ORPHA:1072
ASL	OMIM:207900
ASL	ORPHA:23
JRK	ORPHA:64280
JRK	ORPHA:307
DNAH17	OMIM:618643
ASNS	OMIM:615574
MCM9	OMIM:616185
ASPA	OMIM:271900
ASPA	ORPHA:314911
ASPA	ORPHA:314918
RNASET2	OMIM:612951
ASPH	OMIM:601552
ASS1	OMIM:215700
DCHS1	OMIM:601390
DCHS1	ORPHA:314679
DCHS1	OMIM:607829
PTCH2	ORPHA:377
PTCH2	OMIM:155255
PTCH2	OMIM:109400
PTCH2	OMIM:605462
SLC17A8	OMIM:605583
GATAD1	ORPHA:154
GATAD1	OMIM:614672
ABCB11	ORPHA:69665
ABCB11	OMIM:601847
ABCB11	OMIM:605479
MRPS34	OMIM:617664
DDRGK1	OMIM:602557
DDRGK1	ORPHA:93352
SIX5	ORPHA:107
SIX5	OMIM:610896
SOCS1	OMIM:619375
DDX3Y	ORPHA:1646
DDX3Y	OMIM:415000
SERPINC1	ORPHA:82
SERPINC1	OMIM:613118
ZFTA	ORPHA:251636
ZFHX3	OMIM:176807
ALDH4A1	ORPHA:79101
ALDH4A1	OMIM:239510
IRS2	OMIM:125853
ATIC	ORPHA:250977
ATIC	OMIM:608688
ATM	ORPHA:52416
ATM	OMIM:114480
ATM	OMIM:208900
ATM	ORPHA:100
EIF3F	OMIM:618295
HAMP	OMIM:613313
HAMP	ORPHA:79230
RERE	OMIM:616975
RERE	ORPHA:494344
RERE	ORPHA:1606
ATP1A1	ORPHA:564178
ATP1A1	OMIM:618314
ATP1A1	OMIM:618036
ATP1A2	OMIM:104290
ATP1A2	OMIM:619602
ATP1A2	OMIM:619605
ATP1A2	OMIM:602481
ATP1A2	ORPHA:442835
ATP1A2	ORPHA:2131
ATP1A2	ORPHA:569
ATP1A3	OMIM:601338
ATP1A3	ORPHA:442835
ATP1A3	OMIM:128235
ATP1A3	ORPHA:71517
ATP1A3	OMIM:619606
ATP1A3	OMIM:614820
ATP1A3	ORPHA:1171
ATP1A3	ORPHA:2131
GRHL3	ORPHA:99772
GRHL3	OMIM:606713
GRHL3	ORPHA:99771
GRHL3	ORPHA:888
SLC4A4	OMIM:604278
SLC41A1	OMIM:619468
RNASEH1	OMIM:616479
RNASEH1	ORPHA:329336
STX16	OMIM:603233
STX16	ORPHA:94089
STX11	OMIM:603552
STX11	ORPHA:540
FXYD2	OMIM:154020
ATP2A1	OMIM:601003
ATP2A2	ORPHA:218
ATP2A2	ORPHA:79151
ATP2A2	OMIM:101900
ATP2A2	OMIM:124200
PRY2	OMIM:415000
ATP2B1	OMIM:619910
ATP2B2	OMIM:619804
ATP2B2	OMIM:601386
ATP2B3	ORPHA:314978
ATP2B3	OMIM:302500
ATP5F1A	OMIM:616045
ATP5F1A	OMIM:615228
ALDH7A1	ORPHA:3006
ALDH7A1	OMIM:266100
DGAT1	OMIM:615863
DNAH11	OMIM:611884
DNAH11	ORPHA:244
PHACTR1	ORPHA:3451
PHACTR1	OMIM:618298
ATP5F1D	OMIM:618120
LYRM7	OMIM:615838
ATP5F1E	OMIM:614053
SERPINB7	OMIM:615598
SERPINB7	ORPHA:140966
ATP5MC3	OMIM:619681
CADM3	OMIM:619519
UBR1	OMIM:243800
UBR1	ORPHA:2315
ATP6V1A	OMIM:618012
ATP6V1A	OMIM:617403
ATP6V1A	ORPHA:442835
ATP6V1A	ORPHA:357074
PATL2	OMIM:617743
PATL2	ORPHA:488191
C2ORF69	OMIM:619423
ATP6V1B1	OMIM:267300
ATP6V1B2	ORPHA:3473
ATP6V1B2	ORPHA:79499
ATP6V1B2	ORPHA:79500
ATP6V1B2	OMIM:616455
ATP6V1B2	OMIM:124480
MBTPS1	OMIM:618392
ATP6V1E1	OMIM:617402
ATP6V1E1	ORPHA:357074
CTSF	OMIM:615362
EED	OMIM:617561
EED	ORPHA:3447
ATP6V0A1	OMIM:619970
ATP6V0A1	OMIM:619971
GBF1	OMIM:606483
ATP6AP1	OMIM:300972
ATP7A	ORPHA:565
ATP7A	OMIM:300489
ATP7A	OMIM:309400
ATP7A	ORPHA:388
ATP7A	OMIM:304150
ATP7A	ORPHA:198
ATP7B	ORPHA:905
ATP7B	OMIM:277900
GPAA1	ORPHA:529665
GPAA1	OMIM:617810
ATR	OMIM:210600
ATR	OMIM:614564
